sentences,advice,symptoms
聽日就要考試了，好驚呢次考試嘅題目會唔會好難,好驚呢次考試嘅題目會唔會好難嘅原因係？,T5
係咩？但係我控制唔到我自己害怕,控制自己嘅情緒係唔容易，不過可以同我講多啲你害怕嘅內容嗎？,T9
"好多地方想去,好多嘢想食, 但次次都搵唔到人陪.",我明白你嘅感受，你可以試下同屋企人多啲聯繫，相信佢地都會陪你。,L3
之前識過啲friend，但都係功課上問我，傾多啲私人嘢都唔肯,唔好咁灰心，真正嘅朋友會分擔你嘅憂愁，互相扶持。只要你係真心對人嘅話，別人係看得見㗎。,L6
"就算有好多人係你身邊, 都好似無connection咁 反而覺得自己好孤獨 ","明白這感受會令人不開心.唔好咁灰心住,你可以試下繼續結識朋友,終 有一日您會找到connect到的人，同人溝通有困難嘅時候唔好忘記幫自己打氣呀。",L5
有時拍拖心很累嘅地方係，另一半嘅唔理解…,拍拖的確可以造成壓力。點解覺得另一半唔了解你呢？,L4
出左黎做野之後好難先融入到一個圈子，同好多同事都唔算好熟,覺得同好多同事都唔算熟，而且好難融入職場嘅圈子，可以同我講多啲嗎？,L6
我係個外人，無論做咩都錯，我覺得好似冇人明我咁…,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L4
有時無人聊你傾 又唔知對住人講咩好果種感覺好尷尬:-(  其實覺得摺返屋企係舒服d 但又覺得自己好怪,我知道你可能未必識得同其他人相處而感到尷尬，更加覺得自己奇怪，你可以搵學校counsellor傾下㗎！,L5
就快考試啦，但是見到自己什麼都要未溫習，我很大壓力,視乎你嘅目標 分配好時間 訂立啲階段目標去努力逐步達成 或者試下form study group同同學仔一齊溫重點 咁就會無咁辛苦架啦 做好啲搶分題 咁就冇咁擔心架啦,T5
"樣樣都試過一個人做,差在未試過一個人唱k..",一個人都可以過得好開心㗎。你可以學習感恩，人都開心啲！,L1
考試的時候，題目不懂，我感到緊張,你會怎樣放鬆自己,T9
有時我諗野嗰陣，我會睇緊第二度發呆，然後就定曬形  ,諗野發呆，定型嘅時候，係諗緊啲乜嘢？,T6
考試時候肚痛好辛苦  ,考試嘅時侯肚痛，你會點處理？,T10
"一個人可以好自在,我都幾鍾意,但有時想人陪,有啲羨慕其他人一齊咁開心..",我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
我覺得我應該要溫多d，因為我記唔曬d答案,記唔曬唔緊要 牢記重要嘅概念做熟啲搶分題 或者可以用多啲唔同嘅記憶法幫手喎,T5
已經俾一堆assignment加垃圾組員同埋exam逼住我好大壓力，屋企淨係識得話我夜翻，唔信我有咁忙，話我咁夜翻到去嘈住佢地訓，話我嘈醒佢地。,我完全明白你被一堆功課同考試纏繞住嘅壓力，亦知道你因為呢啲工作而被屋企人誤會。你可以同學校嘅counsellor傾下㗎！,L7
分左手無耐.夜晚靜靜地好孤獨........,明白你因為分手而感到孤獨，如果真係好唔開心，不妨同學校嘅counsellor傾下㗎！,L3
愈黎愈唔想識人 想自己一個摺埋,"俾個機會自己,俾個機會別人,當然最好係識得志同道合嘅朋友，但都要先了解自己有咩愛好，多參與活動，咁樣就算識唔到新朋友起碼都係自己鍾意做嘅事，唔會浪費左金錢同時間。",L5
好厭倦要刻意同人揾話題認識嘅過程，好多時踏入一個新圈子連朋友都唔想識,我明白你對於認識新朋友需要尋找話題既厭倦，呢種厭倦更令你唔想再識新朋友。,L8
如果比我爸媽知道佢哋一定好失望,試下同屋企人傾下，話比佢知你呢一科不太理想比佢做定心理準備,T3
我估我到考試嗰陣會頭痛，我以前都試過系咁,考試嗰陣頭痛一定好難受，你點應對？,T10
唔識唔人溝通 又唔識好似D現充咁R水吹,我能夠感受你對於同其他人溝通嘅困惑同困難。你可以搵學校嘅counsellor詳細傾下㗎！,L8
我好擔心這次考試不及格,明白你嘅擔心。今次打算做點嘅準備呢？,T2
我覺得我學幾耐都學唔識 ,覺得自己學幾耐都學唔識，係咩原因呢？,T5
書又未溫晒 課題又唔熟,唔熟 記唔曬 都有辦法 牢記重要嘅概念做熟啲搶分題 有其他難啲嘅題目唔識多啲問教授tutor ,T5
點算呀，呢次考試我嘅成績肯定唔高,肯定自己今次成績唔高，係咩原因呢？,T1
不敢想我爸媽知道了我的分數會怎麼,"其實如果份卷好難，而且你有努力温書嘅話,咁屋企人應該知道你有努力過,唔會嬲嘅",T3
點樣可以無咁大壓力啊？我只係識聽音樂放鬆,幾好喎 搵啲時間做自己想做嘅事 多啲同信得過嘅人分享溝通 佢哋好樂意聆聽同分擔架,T9
平時亦唔會有人搵，放假就屈係屋企，雖然唔想孤獨，但已經習慣咗果種孤獨感,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
聽日就要考試了，好擔心呢次考試嘅題目會唔會好難,好擔心呢次考試嘅題目會唔會好難嘅原因係？,T5
其實每個人都總有單獨自處既時候 你平時唔發覺可能係因為思緒忙 但係時間一多左就容易醒起,係呀明白啊都可以參加多啲活動充實下自己,L1
"唔敢同人講自己唔開心
只敢上黎連登啲post呻下",有唔敢同人講嘅心事，可以同學校或者社區嘅社工講。佢哋會細心聆聽。,L2
但系我覺得好多題我都唔識，好似都寫錯嗮。,覺得好多題都唔識，能你有點嘅感受？,T4
考官問我問題嘅時候，我個心就緊張到越跳越厲害,考官問問題嘅時侯你緊張而且心跳快，點樣應對？,T10
如果今次成績仲系唔好，我爹地媽咪肯定有會嬲我,爹哋媽咪嬲嘅話，你會有點嘅感受？,T3
"—直都係—個人戰鬥，冇屋企冇真心朋友冇伴侶去互相扶持。#:)#fs
感覺好累好累",明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L2
點溫都無用，溫咗都忘曬,嗯 都有好多方法可以強化記憶嘅 例如可以試下同朋友同學仔form study group 有唔少研究話教導其他人之後記憶力係最持久嘅 或者都可以試下喺唔同嘅網上平台搵相關嘅影片睇下 輕鬆啲之餘又可以recall返啲記憶架,T5
我真應該好好看書的，不至於答不出題 ,答不出題令你感受係點？,T5
回想過去嘅自己，發覺真係差到不得了，仆街至極，覺得自己完全唔值得擁有朋友同擁有同伴…,我感覺到你有唔愉快嘅經歷。發生過乜野事令你覺得自己唔值得朋友同伴呢？,L8
我成日背完就忘嗮，點算好，都記唔得背咗d乜野 ,試吓用唔同嘅記憶法幫手 將學術知識同日常生活連繫 或者用一啲生動有趣嘅聯想 深啲嘅內容就算唔記得都可以靠推論搵番出黎  多啲複習 充足嘅休息都有助記憶架,T5
考試嗰陣，我有時會發呆，然後望住某個地方定曬形,考試發呆，望住某處定型嘅時侯，係諗緊乜？,T6
但係分數太差媽媽會話我上堂唔認真,媽媽話上堂唔認真，會令你覺得點？,T3
係呀，次次考試都平靜唔到,次次考試都平靜唔到，令你有點嘅感受？,T9
又玩下筆咁 好煎熬囉 打發時間,你平時考試通常都好快做完份卷架？,T8
任何人都會孤獨，年紀越大就會越孤獨,年紀越大越孤獨，而任何人都會孤獨，令你有點嘅感受呢？,L3
我考試嗰陣會周圍望，望下其他人，睇住D時間，玩下支筆，我想快D完,考試難免會緊張 正常不過吧 其他同學都可能會唔識 另外做多啲past paper 針對性熟習考核內容 到考試就會有多幾分自信啦,T6
考試好難 有排睇 迷茫 ,明白迷茫唔好受。考試之前你會點樣準備？,T5
就算真心friend都唔會無啦啦搵佢講心事 好似好奇怪咁 又驚阻到人 又唔想俾人知自己咁灰 唉 好想消失,我感受到你有好多顧慮，好難踏出一步同身邊既朋友傾訴，你可以同學校嘅counsellor傾下㗎！,L5
最近放暑假，乜都係自己一個人，好想有人可以陪下我…,我明白你嘅感受，你可以參加多啲興趣班，認識更多朋友，陪你上堂。唔好忘記幫自己打氣呀。,L8
因為我會因為考試的關係而不安同緊張,都好common嘅 準備多啲 熟習啲題目 記住搵啲方法放鬆自己 多啲同信得過嘅人分享溝通 分擔一下,T9
爸媽話再fail就無得開電腦，宜家唔知點算好,如果冇得開電腦，對你會有點嘅影響？,T3
有時都唔知讀書系為咗咩，搞到我都想跳樓,唔知讀書為乜，我明白你嘅痛苦，不過想聽多啲你嘅情況。,T11
好驚因為分數唔夠高爭唔到intern,"擔心分數唔夠就爭唔到intern,令你有點嘅感覺？",T2
考試嗰陣我個胃會唔舒服 ,考試而個胃唔舒服嘅時候，你會點做？,T10
我細個唔識同人相處，所以冇乜朋友,"俾個機會自己,俾個機會別人,你又可以試下用交友應用程式，搵志同道合嘅朋友。",L8
我考嘅時候真係好緊張呀,都好common嘅 準備多啲 熟習啲題目 記住搵啲方法放鬆自己 如果有同學朋友仔一齊考可以互相扶持下嘅,T9
我點先可以考試嘅時候唔好咁大壓力?,準備多啲 熟習啲題目會唔會有幫助 多啲同信得過嘅人分享溝通 分擔一下,T9
有時都唔知讀書系為咗咩，搞到我都想死 ,哦，明白，但係死解唔解決到個問題？,T11
我好擔心考試會好難，不明白啊,擔心考試難，唔明白，係咩原因呢？,T5
我盯著一個地方發呆  ,盯著一個地方發呆，係喺咩情況之下？,T6
我而家需要嘅唔係你幫我解決問題，而係想你聽我講嘢…,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..,L2
我對著一個地方出神  ,對著一個地方出神，係喺咩情況下？,T6
我擔心這次考試會很難考 ,擔心今次考試會難，係點解呢？,T5
—直都係—個人戰鬥，冇屋企冇真心朋友冇伴侶去互相扶持。感覺好累好累,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L2
最煩係冇Study partner，冇人提自己要form gp，交功課，deadline嗰啲。,聽落你希望有個study partner。你打算點樣去搵一個陪你嘅人呢？,L1
我一緊張，我個心就跳個厲害,緊張就會心跳厲害，令你覺得點？,T10
點解每次聚會我都好似係多出嚟嗰個？次次都要掛住個面具出去咁…,明白你呢個感受先唔好灰心 或者試吓可以喺新嘅圈子同其他人相處,L7
動不動就被冷漠對待 被忽視 被句點 雖然我已經習慣了,唔好咁灰心，你可以做啲你喜歡嘅事去排解心情。,L7
我應該努力學習的   ,如果掌握到知識 考得好 應該會好有成功感添,T5
"可能我比較被動,慢熱又唔陽光 悶親人
本來以為自己好大方 其實係好小器好易妒忌人 得罪左人都唔知
所以活動多數冇預過我呢個人",唔好咁灰心住，你可以首先了解下點解人地唔搵你，之後或者你可以搵你信任嘅人講依件事。,L7
我好唔確定我啲答案係咪啱嘅,唔確定答得啱唔啱，你嘅感受係？,T4
點解我要一個人孤零零坐在街既？,"明白這感受會令人不開心,其實你可以試下用social media 去同自己朋友互動一下;又或者考慮在網上尋找有共同興趣嘅⼈",L3
讀同一科或返工個啲好難做到知心朋友，唔知點解會feel到係競爭對手嘅感覺,讀同一科或者做同事，令你覺得對方係競爭對手。咁樣會令你有點樣嘅感受呢？,L6
然後就希望解決到我嘅焦慮問題啦,加油喔 身邊有好多人支持同願意聆聽理解你架,T9
冇食野我個肚都會唔舒服,一嚟啦 同埋用腦思考記憶都需要能量 咁樣會好影響你發揮架喎,T10
大概知道麻煩到別人是不好的行為，所以對於人與人之間的關係總是很謹慎處理。但有時過於小心翼翼反而不太自然，同時又害怕會否因一時間疏忽造成別人困擾。,其實同人好好溝通、相處並唔難。試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,L5
每日都係個種釋懷唔到嘅孤獨感中渡過,明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去同自己朋友互動一下,L3
考試成日都緊張到手抖    ,考試成日手震，你會點應對？,T10
我不斷睇住個鐘，又會隻腳郁嚟郁去同埋轉筆,嗯好多人考試都會好緊張 但係咁樣會唔會影響咗你嘅發揮 有冇減壓嘅辦法,T7
考試開始前突然緊張，我應該點做？,如果有同學朋友仔一齊考可以互相扶持下嘅,T9
返工扮正常，返到屋企又自己一個。。乜都只有自己一個人,乜都自己一個做，令你有點嘅感覺呢？,L3
我仲會成日望鐘睇時間…驚唔夠時間做…,咁都幾好 如果你會有策略咁做容易搶分嘅題目先 咁樣應該可以分配好時間做大部份題目,T7
我擔心這次考試難度會很大,擔心今次考試難度高，點解呢？,T5
"讀到今年final year 已經慣左#bye#
到頭黎一個fd都無
仲開始慣左享受孤獨
有時chur到個人唔想社交",Final year係好忙嘅但有時都要一個人放鬆吓,L3
點先至可以考試嘅時候唔緊張？,準備多啲 熟習啲題目會唔會有幫助,T9
遇到難題目嗰陣，我就忍唔住東張西望,遇到難題目而想四圍望嘅時侯，係有點嘅諗法呢？,T6
咁如果我真係pass唔到，咁點算啊？,擔心自己pass唔到，令到你有點嘅感受呢？,T2
我覺得我有幾條題目我寫錯咗,如果仲記得題目既話，試下睇下Notes又做返一次錯個D地方，咁樣下一次就不會錯了,T4
因為唔合格就要曬時間重考啦。,如果準備充足有冇信心一tick pass先,T2
我都係 返工可以逃避 唔洗知自己無朋友約嘅真相,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
今次考試好難丫，我想自殺,今次考試難，的確難受。可以講下你嘅感受俾我聽嗎？,T11
真係有野唔開心想揾人傾 寂寞想揾人陪嘅時候就一個都冇,知道你有事既時候未必搵到人分擔同陪伴，令你感到有啲無助。,L2
我成績唔好，每次考試幾乎都唔及格,你嘅成績令你有點嘅感受呢，可以講下嗎？,T2
我諗我要快d溫書...,嗯 把握時間 溫熟啲考試就無咁驚架啦～,T5
同人講又唔明 有苦自己知,你一定覺得好難受。具體係有乜嘢想同人講但係又唔明呢？,L4
我仲以為係人大咗越來越少朋友，其實係同邊個都唔夾咁款，嘗試過主動改變但係更加顯得格格不入…,試吓對而家嘅朋友敞開 或者淨係同你覺得相處比較舒服嘅朋友一齊～,L8
考試成績不好就覺得對不起我的父母,覺得對唔著父母，係點解呢，我想聽你講多啲。,T3
人大咗越黎越孤獨 冇人可以傾訴,明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L2
"好想改性格，識親人都只係fd到頭兩三星期
因為我太靜，我唔主動既話，會慢慢被淡出
唔多講野，人地都會冇癮，於是keep唔到友誼
想試下多d野講，但性格好難改",覺得自己比較靜，唔夠主動所以難keep新朋友。你想改性格，係要點樣改呢？,L8
次次到咗考場我就心跳加快  ,一到試場就心跳加快，你會點應對？,T10
"""記得之前試過發夢自己pass畢業",嗯加油 身邊好多人支持你架,T1
考得爛，又會比爸爸媽媽話我,爸媽話你嘅話，會令你有點樣嘅感受？,T3
但係朋友都唔可以無時無刻陪你，有時見住以前好熟既朋友因為生活圈子唔同而疏離，仲覺得難受,唔好咁灰心住，你可以試下將你嘅想法寫低，咁樣可以減少孤獨感。,L7
我會成日周圍望 跟住又成日睇住隻錶,但係你會唔會因為咁樣shift咗自己嘅注意力 影響咗自己嘅表現,T7
發現身邊一個並肩作戰嘅人都冇嘅時候多少會有啲孤單,明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L1
成日覺得大學既同學/朋友， 都係為利益走埋一齊,聽落你似乎覺得大學嘅人際關係係建立喺利益之上。咁喺呢個處境下，你有咩感受呀？,L6
嗰一下覺得全世界得返自己一個 冇人明白我,當時發生咩事令到你覺得全世界得返你一個，而無人明白你呢？,L3
今次考試嘅題目好難丫，我寫答案嗰陣緊張到手都都,考試題目難，你當時嘅感受係？,T5
唔開心但打開電話發現無一個可以傾訴既人既時候,太多心事喺心裡面的確會好辛苦。你可以搵屋企人傾訴。再唔係，搵學校/社區嘅社工都得。,L2
次次到咗考場我就心跳個不停,到咗考場就心跳不停，令你覺得點？,T10
雖然考完，但系我驚我分數唔好,驚分數唔好，係咩原因呢？,T1
可能係因為我好多野都唔記得咗，考試實唔合格,覺得好多野都唔記得咗嘅原因係？,T2
成績爛，又會比爸爸媽媽話我,屋企人話你，令你有點既感受？,T3
成個人都好抑鬱 迷茫  迷茫 ,咁就要搵啲方法放鬆自己喎 搵啲時間做自己想做嘅事 多啲同信得過嘅人分享溝通 分擔一下,T9
我都唔知點解自己同其他人唔同 唔可以外向啲 好輕鬆就識到好多朋友,認為其他人外向而且好容易識朋友，自己就唔同。你覺得係有點樣唔同呢？,L8
你有冇諗過一個fail 對我影響有幾大？ 憤怒 ,不如搵朋友傾傾 準備好再Retake返可以冚咗F個分,T2
今日考試，我太緊張，忍唔住不停望周圍同學,考試就算溫好熟都難免會緊張 正常吧 其他同學都可能會唔識但有冇諗過點樣加強自己考試個陣嘅信心,L4
你覺得我分數很低他們會對我失望嗎,佢哋對你失望嘅話，你會有點嘅感受？,T3
"一個朋友都冇
一靜落黎真係好唔開心",我明白你嘅感受，你可以試下深呼吸，或者望下周圍嘅野，可以令你冷靜啲。,L8
一科fail 會拉低曬個gpa 迷茫 ,萬一fail準備好自己Retake返就可以冚咗F個分,T2
我很擔心讓我的父母失望,父母失望嘅話，你會有點樣嘅感受？,T3
我都係好重感情，所以見到佢地冇約我，個心就好難受，然後就想離開佢地,唔好咁灰心住，你可以試下將你嘅想法寫低，咁樣可以減少孤獨感。,L7
但係考得太差爸爸會話我上堂唔認真   ,爸爸話上堂唔認真嘅話，你會覺得點？,T3
只有寂寞的人才會感嘆自己的孤獨..,只有寂寞嘅人會感嘆自己嘅孤獨，係點嘅意思呢？我想聽你講多啲。,L3
有無人由細到大都無朋友 好孤獨,我完全明白你可能因為結識唔到朋友而感到孤獨，如果呢種孤獨真係對你造成困擾，好歡迎你同學校嘅counsellor分享㗎！,L3
溫書嗰陣我總覺得點記都記唔完考試嘅重點內容,溫書但係唔記得溫過嘅內容，你有點嘅感受？,T5
而且考試嘅時候，我總擔心時間唔够，答唔切,都明既，擔心係正常,T7
開咗學咁耐一個朋友都冇，日日自己食飯，分組又冇組，等tutor分,唔好咁灰心，一個人都可以過得好開心㗎，攰嘅時候唔好忘記幫自己打氣呀。,L1
宜家我都唔知考試範圍究竟係乜 ,如果canvas搵唔到 可以搵同學仔或者教授／tutor問下 佢地好樂意幫你架,T5
我成日都諗住自己做野做得好差，擔心我攞嘅成績，如果我唔合格點算,萬一F都可以重讀 最緊要依家多加努力 成績可能會比想像中好呢,T2
讀書讀到好想跳樓啊啊啊啊啊啊,哦，明白，但係死解唔解決到個問題？,T11
我覺得我所有答案都係錯，我分數一定會好差,覺得自己所有答案都錯，係點解呢？,T1
我都唔知自己點解會緊張喎 傷心 ,會唔會係你對自己有比較高嘅期望同要求,T9
我好擔心考試會好難，不會做啊  ,擔心考試難，唔識做，係咩原因呢？,T5
好多題目都唔識做，我會唔會好低分好,今次有題目唔識做，令你擔心。可以講下而家嘅感受嗎？,T1
考試嗰陣，我只手仲系熱到流汗，寫字都難 ,考試嗰陣隻手熱到流汗，你會點處理？,T10
考試壓力很大，大到無法呼吸。,無法呼吸嘅感覺係好難受。可以講詳細啲你考試時嘅感受嗎？,T9
"日日都冇人揾
放假留係屋企
就算出街都係自己一個，收工冇活動
有冇同路人#cry#dog#cry#dog#cry#dog
好辛苦...",孤獨的確難受。自己一個返工同出街一定唔係易事。會唔會想主動結識朋友？,L2
我成績已經差到溫幾多都考唔好,會唔會係其他原因令到溫習效率麻麻，試下問下師兄、同學仔參考下佢地或者form個study group互相照應?,T1
"的確有時真係好享受自己一個人
但當你日日都係咁嘅話就會好難受",我明白你嘅感受，有冇諗過每⽇做運動呢？運動可以改善情緒同減壓，做完運動人都精神啲！,L1
覺得自己好孤獨， 呢兩個星期直頭走晒上晝堂  唔想自己一個lunch,唔好咁灰心，一個人都可以過得好開心㗎。你可以學習感恩，人都開心啲！,L1
我有時仲緊張到冇辦法入睡,充分嘅休息係至關重要 有冇試過唔同辦法幫助自己入睡,T9
唔溫就pass唔到，但係心底又好抗拒溫書，一見到啲notes就想搵其他嘢做,訂立啲階段性目標 好似打機咁逐關達成 form study group同同學仔一齊努力互相鞭策下 會多啲動力架,T5
內向人覺得自己已經好努力去識真心FD...但主動得多真係會攰,只要誠懇嘅態度同人交流，終有一日您會找到connect到的人，唔好忘記幫自己打氣呀。,L8
一進考場我急超緊張，覺得呼吸困難心跳加快 ,入考場嘅時候緊張，心跳快仲呼吸困難，實好難受。你會點面對？,T10
我都好羨慕d人可以對住陌生人咩都可以講一餐，而我慢熱，對住陌生人真係咩都講唔到，識唔到新朋友,同人有多啲共同經歷嘅時候，慢慢就會變成朋友，友誼都會更深厚。同人溝通有困難嘅時候唔好忘記幫自己打氣呀,L8
如果成績唔好，我驚我媽咪鬧我,媽媽鬧嘅話，會令你覺得點樣？,T3
覺得所有嘢都好煩厭，日日都好攰，唔想向身邊嘅人放負，怕佢哋嫌我煩…,聽到你有好多煩惱，覺得好攰，但又唔敢同身邊嘅人傾訴，你可以同學校嘅counsellor傾下㗎！,L5
"我好耐冇同人傾計,話題都諗唔到..","俾個機會自己,俾個機會別人,當然最好係識得志同道合嘅朋友，但都要先了解自己有咩愛好，多參與活動，咁樣就算識唔到新朋友起碼都係自己鍾意做嘅事，唔會浪費左金錢同時間。",L2
可能有，但系我都忘曬，都唔記得自己做咗咩題,唔記得做咗咩題目，令你覺得點呢？,T5
我一個熟既朋友都冇,聽到你認為自己冇一個比較熟既朋友，覺得唔開心。,L3
一進考場我急超緊張，覺得呼吸困難心跳個不停,一入考場就超緊張，心跳不停仲呼吸困難一定好辛苦。你點樣令自己好過啲？,T10
好多題目都唔識答，我會唔會好低分,今次有題目唔識答，令你有點嘅感受？,T1
我一到要考試嘅時候就會頭暈呀，心跳會好快,不適真係會好影響考試表現 有無諗過睇醫生徵詢醫生意見,T10
所以遇到識嘅題目，我總系想儘快答完,遇到識嘅題目就想儘快寫完，令你有點嘅感受？,T7
每次考試都會忍唔住不停睇鐘,考試忍唔住不停望鐘，係咩原因呢？,T7
我覺得我呢次口語考試發揮得唔好,覺得今次口語考試發揮得唔好嘅原因係？,T4
又轉下筆咁 好煎熬囉 等時間過 ,考試覺得煎熬，係咩原因呢？,T8
有時考試果陣又會肚痛，會浪費d時間去廁所,經常都係咁? 冇咗好多時間會影響發揮 會唔會同緊張或者飲食作息有關係 避免食啲刺激腸胃嘅食物 有冇睇過醫生 藥物會唔會有幫助 不過嚴重嘅話最好睇醫生之後先補考吧,T10
考得唔好會defer啊,有時間同professor同學仔傾傾睇下點樣化解困難吧 別人嘅意見同支援可能啟發到你呢,T2
考完試之後 我覺得我嘅回答可能錯好多,考完試覺得自己可能答錯，令你有點嘅感覺？,T4
然後就是爸媽對我的成績都不滿意,爸媽對你成績唔滿意，令你有點嘅感受？,T3
"人際方面,識人唔算太多,有時想揾人呻下都唔敢 唯有揾番中同,但又唔想經常煩到佢",有負能量又怕影響到人嘅話，唔洗自己忍受，可以搵學校/社區嘅社工傾下。,L5
好怕自己D負能量會煩到其他人，唔開心唔敢講唔敢喊，成日戴住假面具…,唔可以抒發情緒以及成日戴面具，一定好辛苦。如果有心事嘅話，可以搵學校/社區嘅社工。,L5
我覺得大部分題我都沒寫對,覺得大部分無寫啱嘅原因係咩？,T4
啲科好難，我驚自己考得唔好,做多啲試題熟習 唔熟嘅部份溫多啲 或者搵教授釐清啲concept 就會有多些信心啦,T5
我仲系好緊張，唔知自己今次嘅成績,唔知今次嘅成績而覺得緊張嘅時侯，你會諗啲乜？,T1
"感到很孤獨好寂寞 尤其係屋企得翻自己一個

聽日仲要開工 但係心真係好唔舒服

重睇完中二病第一季","明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去keep 住朋友,又或者考慮網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈",L3
不知道我爸媽知道了我的分數會怎麼,你認為爸媽可能有點既反應呢？,T3
我都係咁等，點知等到而家都冇人走嚟識我,孤單，無人主動認識自己嘅感覺實在難受。不如試下主動搵其他人？,L2
所以遇到識答嘅題目，我總系想儘快寫完,完成了後你覺得點？有冇舒服點？,T7
"其實人越大個越覺得孤獨都正常,畢竟經歷多啲,見過嘅人事物往往匆匆而過..",認為孤獨係正常，身邊嘅人同事物都匆匆而過。可以分享你嘅經歷嗎？,L3
我考試時，會到處睇，希望可以快點完成考試。,嗯好平常嘅 你平時考試有咩技巧令自己快啲完成,T7
驚朋友厭我煩所以就唔同朋友講，但系甘樣自己就越來越辛苦，個腦越諗越偏離事實。,聽到你唔敢同朋友傾訴而令自己感到辛苦，你可以同學校嘅counsellor傾下㗎！,L5
我考試嗰時隻手震得厲害,如果嚴重就最好請教下醫生 避免飲有咖啡因嘅飲品都可能有啲幫助,T10
我final year 好驚考得差影響到hon,咁真係會好大壓力 搵下past paper 畀心機準備好個exam先 其他嘢例如萬一考唔好要其他科拉分可以考完再部署嘅,T2
"講就講以前中學成班算係死黨
但大個左個個都識左好多好多嘅朋友
但自己就一個人",明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L7
我考試長期不及格，怕DSE都會U，每晚壓力好大，失眠。,咁就要搵啲方法放鬆自己喎 多啲同信得過嘅人分享溝通 分擔一下,T2
"有時候會覺得單身幾好,但係當身邊嘅人都拍拖嗰陣時,都會想有人喺自己身邊.",係呀明白啊都可以參加多啲活動充實下自己,L8
中學既朋友，環境唔同就開始淡，仲要個個拍拖，剩係記得女朋友，所有時間都比哂佢,唔好咁灰心住，就算依家感情唔係咁好，都唔代表以後都係咁㗎嗎。你可以做啲你喜歡嘅事去排解心情。,L7
