sentences,advice,symptoms
到咗你想唔開心傾計想搵人嘅時候又會搵唔到人 又會覺得無朋友,我明白你嘅感受，你可以平時同身邊嘅人建立良好嘅關係，當你有需要嘅時候，我相信佢地都會肯幫你。,L2
我做題嗰陣會忍唔住老系轉頭睇睇時間  ,考試忍唔住一直睇時間，係咩原因呢？,T7
係呀我仲會成日頭痛同手震添,咖啡因同休息唔夠都可能會引致頭痛手震 都可以徵詢醫生意見睇下點樣舒緩同避免 適當服用藥物可能會有幫助,T10
姐係有冇d迅速減壓技巧？,花啲時間做自己喜歡做嘅事 同朋友聚會行街都係好辦法,T9
其實我係唔識同人溝通，無乜topic同人講。唔係一個“有趣”既靈魂。,想搵話題嘅話，可以多留意時事，睇下鍾意嘅電影/書或者劇集，或者以嗜好同其他人展開共同話題。,L5
exact7ly...佢哋一講去邊旅行...咩電視劇集 我就即刻收皮了,唔緊要㗎，你做自己鍾意嘅野就夠㗎啦。唔好忘記幫自己打氣呀。,L5
離考試越近，壓力就越大，溫書嘅時候，筆都攞唔住，手唔停噉都   ,接近考試，溫書嘅時侯手震，你會點做？,T10
考試到後邊嗰陣，我就會頻繁睇時間，擔心自己做唔曬,考試後期擔心做唔晒而一直睇時間，嗰下感受係點？,T7
老實講我已經唔記得點樣同人傾計...有時諗到可以俾唔同回應人地...但係成日唔敢表達，怕對方一係聽完DEAD AIR，一係HEA應自己,我明白你嘅感受，其實同人好好溝通、相處並唔難。試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,L5
例如考緊試果時感到頭痛心跳加速點算？,有冇辦法可以令自己減壓 頭痛不適真係會好影響考試表現 有無諗過睇醫生徵詢醫生意見 有冇試過用藥物紓緩,T10
我甚至會心痛，肚痛同手震。個心仲跳得好快同好熱添 傷心  傷心 ,不適真係會好影響考試表現 如果情況比較嚴重會幾辛苦 有無諗過睇醫生徵詢醫生意見,T10
因為我不停抬頭望周圍同學 ,不停抬頭望周圍同學，係咩原因呢？,L4
我覺得我有幾條題目我答錯咗,覺得有答錯嘅問題，令你有點嘅感覺？,T4
考試嗰陣我好攰 好緊張 迷茫,如果有同學朋友仔一齊考可以互相扶持下 多啲休息 專注做好試卷考完就可以做自己想做的事,T9
有時就算有人同你講野 有frd都好 但都總係同佢地好似無共鳴,明白你即使有人陪伴，亦都未必同身邊嘅人有共鳴而有啲無助，你可以搵學校嘅counsellor傾下㗎！,L5
雖然我覺得呢次考試我系正常發揮了，但系我總覺得我可能仲系pass唔到,既然正常發揮，總係覺得會pass唔到嘅原因係？,T2
考試嗰陣，我成日都會周圍望，睇吓其他人做成點,但係咁樣會唔會shift咗自己嘅focus,L4
自己本身好靜 又無話題又怕醜 唔主動識人,"係時候俾個機會自己,俾個機會別人,你又可以試下用交友應用程式，搵志同道合嘅朋友。",L8
考試前會因為壓力大，d小事就會喊 ,咁就要搵啲方法放鬆自己喎 搵少少時間做自己想做嘅事 多啲同信得過嘅人分享溝通 分擔一下,T9
考試果陣我會成日望住其他人,考試成日望住其他人，點解呢？,L4
成朝望住個鐘等考試結束 ,可以早過限時做完份卷 你嘅時間管理技巧好好喎,T7
自己d興趣少人玩 見d踢波打波既一堆fd玩 自己就同自己玩,唔緊要㗎，你做自己鍾意嘅野就夠㗎啦。唔好忘記幫自己打氣呀。,L5
然後就交卷了，我猜想這次成績很爛,會猜想今次成績爛，係點解呢？,T1
今日考試，我太緊張，不停望周圍同學 ,考試太緊張，不停望周圍同學，嗰陣有點嘅諗法？,L4
日日自已一個買飯係課室食 完堂走同同學禮貌講聲BYEBYE冇人理 做一組嘅功課 要討論果陣講完都冇人理 分組一定分淨最後一個,唔好咁灰心，一個人都可以過得好開心㗎，攰嘅時候唔好忘記幫自己打氣呀。,L1
太被動，講野唔叻又窮，由細到大都keep唔到同學朋友同事，依家一個舊同學都無再聯絡,聽你咁講，你因為自己唔識同人講嘢同埋窮而同同學朋友同事維繫唔到關係，你可以同學校嘅counsellor傾下㗎！,L5
有時我會無啦啦唔想同外界接觸 唔覆機唔出街邊個約都推 好懷疑自己有社交障礙,明白你因為自己突如其來對其他人嘅冷漠而懷疑自己有社交障礙，你可以同學校嘅counsellor傾下㗎！,L5
越到考試後期，我答題速度就越快 ,越到考試後期答題越快，你嘅感受係？,T7
但系我覺得好多題我都唔知點答，好似都答錯嗮。,好多題唔知點答，你嘅感受係點？,T4
孤獨到好似得番一個人喺世界上面生存咁.......,"明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去keep 住朋友,又或者考慮網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈",L3
想搵人講嘢，打開部手機唔知可以搵邊個，個個都識，講到兩句，但係咁樣搵佢講自己嘢又唔得，碌嚟碌去搞咗半個鐘，發現原來無fd,我明白你嘅感受，你可以平時同身邊嘅人建立良好嘅關係，當你有需要嘅時候，我相信佢地都會肯幫你。,L2
成日都會變咗話題終結者，自己本身又無麥話題可以講，同事除咗搵我解難 係唔會搵我傾吓一句,從你嘅經歷中，可能你經常成為話題終結者，亦同同事冇咩深入交流，令你感到不快。,L5
考試果陣我會成日睇其他人 ,考試成日睇其他人，點解呢？,L4
雖然考完，但系我驚我成績唔高,驚成績唔高，係咩原因呢？,T1
考試題目唔知點答，點算好?,試下做多啲pastpaper睇下類似題目答法 tutroial問多啲 就會慢慢熟啦,T5
面對考試壓力，大到無法呼吸。,無法呼吸嘅感覺係好難受。可以講詳細啲你面對考試時嘅感受嗎？,T9
同事就...返咗新工半年都融入唔到 除咗早晨bye就無野好講,知道你未必可以同同事有好深入嘅交流，你可以同學校嘅counsellor傾下㗎！,L5
唔開心嘅時候發覺冇人可以傾訴 只可以係瞓覺嘅時候偷偷地係張床到喊, 你可以搵學校嘅counsellor傾下㗎。,L2
但係我考試嘅時候就寫唔到乜野,考試嘅時侯寫唔到，令你覺得點？,T5
每次心情好差的時候就唔想同任何人聯絡。,明白你呢個孤單嘅感受  你承受嘅已經太多啦 可以試吓同朋友講吓你嘅憂慮！,L5
我想我應該多記一點  ,覺得自己應該多記一點嘅原因係？,T5
我沒你想的那麼堅強，只是習慣了什麼都自己扛 其實，我也是會哭的....,聽落你俾人感覺係堅強，但當然再堅強嘅人都有需要抒發情緒嘅時侯。喊係一個好好既方法，不過都可以搵屋企人或者朋友傾訴下。,L1
就係成日都覺得好難中途加入小圈子,明白你可能對於中途加入其他圈子有啲迷失，你可以搵學校counsellor傾下㗎！,L8
考試到後邊嗰陣，我就會頻繁對時間，擔心自己做唔曬 ,考試後期驚時間唔夠用，頻繁對時間，你嘅感受係點？,T7
因為如果模擬考考得唔好，我就覺得我最尾嘅考試都會考得唔理想,"先不要那麼擔心, 想 想如果真係咁，可以掂處理？",T1
我很難記住那些考試內容和答案 ,難記住考試內容同答案，令你覺得點？,T5
我仲會成日玩支筆 隻腳喺度郁嚟郁去,不過呢啲方法能唔能夠令你容易啲recall返啲記憶,T8
有時題目好難我就直接放弃咗，然後玩筆來打發時間 ,題目太難，放棄咗之後你會覺得點？,T8
我個心仲會成日跳得好快 成個人好熱,有時深呼吸 飲水可以有少少幫助 如果方便可以離開個環境到戶外放鬆下 都可以避免飲有咖啡因嘅飲品,T10
"試過自己一個去影相,但冇伴始終差咁D",我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
"自己不嬲都好冇安全感 以前因爲啲嘢搞到自摺 好寂寞 好孤單 希望能夠有一個人自己中意嘅可以陪住自己 但係結果係一廂情願咁 
搞到依加成日都亂諗 自己一個人果時就好寂寞",覺得寂寞，希望有一個好朋友，但又擔心自己一廂情願。以前係發生咩嘢事令到你無安全感？,L8
喺外國讀緊書 真係一個朋友都無,我明白你嘅感受，你可以試下用唔同嘅方法同屋企人多啲聯繫，相信佢地都會關心你。,L3
我都覺啊 所以我成日考試都會肚痛,如果經常都係咁 會唔會同緊張或者飲食作息有關係 有冇睇過醫生 藥物會唔會有幫助 不過嚴重嘅話最好睇醫生之後先補考吧,T10
但個腦會空白諗唔到野…,試吓用mindmap整合分類好啲邏輯 用唔同嘅記憶法幫手 有時間可以email約tutor professor釐清啲概念 就會好好多架啦,T5
當你以為自己同人好FD，其實你都係係佢地個圈子外，我有努力過，但都冇用，有咩唔開心冇人可以傾訴,明白你會有孤單嘅感覺 參加多啲活動識多啲唔同嘅人啦～或者相同興趣嘅人都有幫助㗎,L2
我成績咁爛，溫幾耐都好似考唔好咁,會唔會係其他原因令到效果唔理想，試下問下師兄、同學仔睇下佢哋有冇類似嘅經驗。,T1
如果今次成績仲系唔好，我爹地肯定有會嬲我,爹哋嬲嘅時候，你會覺得點樣？,T3
唔知點樣去識人做朋友，係咪自己太內向,"俾個機會自己,俾個機會別人,你又可以試下用交友應用程式，搵志同道合嘅朋友。",L8
我應該一早要溫多d書：（,如果掌握到啲知識 考得好 應該會好有成功感添 下次要努力啲啊,T5
有好多題目我都覺得自己寫錯咗,好多題目覺得寫錯咗，係點解呢？,T4
"其實覺得識人唔難,難ge係點樣keep住一段關係,所以好多hi bye fd",覺得識人唔難，而keep住一段關係先至難。可以解釋下俾我聽嗎？,L6
好多題目都唔識做，我會唔會唔好成績,"先不要那麼擔心, 想 想如果真係咁，可以掂處理？",T1
我都係大一年，溝通唔到，可能係我太老積，都可能係佢哋太純品，總之就係冇共同話題，好多都係fd fd下就不了了之,"我明白你嘅感受，其實同人好好溝通、相處並唔難。你可以試下繼續結識朋友,終 有一日您會找到connect到的人，同人溝通有困難嘅時候唔好忘記幫自己打氣呀。",L5
我考完啦…但應該唔合格呀,"難得終於捱過考試，搵朋友出嚟聚下傾下放鬆下啦。用嚟緊啲時間裝備自己，好多同學仔都試過second take, tri-take拉分架。",T1
"畢業後同朋友漸行漸遠,好頹,想圍爐,有冇人都係孤獨地生存在社會..",我感覺到你希望有親近嘅朋友。同交朋友漸行漸遠呢件事，可唔可以講多啲俾我聽？,L6
可能我成日諗住如果考得唔好，我爹地媽咪會失望,擔心自己考得唔好，令家人失望。呢件事令你有點既感受呢？,T3
中學打後朋友一年少過一年，佢地拍拖嘅拍拖，返工嘅返工，有啲人大左價值觀唔同左又就疏遠左，依家好似無朋友咁,"明白這感受會令人不開心,可能花多些時間珍惜現有的身邊好友.太過緬懷過去可能令人傷感",L3
D人話大學朋友係酒肉朋友 我d大學朋友只係日日傾學業 搞到我都唔想理佢地 但唔理佢地 我有問題又冇得問 難聽d講句只係互相利用 被逼相處,被逼相處嘅感覺的確難受。你嘅大學朋友淨係傾學業，令你有點嘅感受？而你想問但又冇得問嘅問題係咩呢？,L6
越大發覺無拍拖真係好孤單,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
"呢種感覺好辛苦
曾經仲為過男仔而傷害自己 因為我都好怕孤獨
將自己所有放係佢身上
最後慢慢有情緒問題 btw我愛你啊朋友",我明白你嘅感受，有冇諗過做運動減壓呢？運動可以改善情緒，人都精神啲！,L1
我唔想做題嗰陣就會轉筆,唔想做題就會轉筆，你當時有點嘅感覺？,T8
"屋企人去哂旅行 得我一個留係屋企
深夜揾唔到人吹水 自己一個落街買左包煙番屋企食哂成包之後訓",聽到你因為屋企人去咗旅行而搵唔到人傾計，感到有啲孤獨。,L2
考試嗰陣我會忍唔住轉筆,考試忍唔住轉筆嘅時候，你有點嘅感受？,T8
分數差，又會比爸爸媽媽話我,爸媽話你，你會覺得點？,T3
雖然我複習咗咁耐，但系感覺合上書就唔記得溫咗乜野,試吓用唔同嘅記憶法幫手 將學術知識同日常生活連繫 例如平時可以上youtube搵相關嘅短片睇下 或者用一啲生動有趣嘅聯想 多啲複習 充足嘅休息都有助記憶架,T5
考試時侯個腦會變左空白…記唔起曬d野…,考試嘅時侯個腦空白咗，你會有點嘅感受？,T5
"如果你獨處時感到寂寞，這說明你沒有和你自己成為好朋友。

#單身 #單戀 #寂寞 #孤單 #自己煮 #朋友 #好朋友","明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去keep 住朋友,又或者考慮網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈",L3
因為好驚唔pass 冇信心,明白你嘅擔憂。不過，點解冇信心呢？,T2
今次考試好難丫，我想跳樓,哦，明白，但係死解唔解決到個問題？,T11
好唔開心  但身邊冇一個人明白你種感覺好難受,我感覺到你而家好傷心。今日發生咗咩事呢，我想聽你講下。,L4
我覺得我所有答案都係錯，我考得一定會好差,覺得自己答咩都錯嘅原因係？,T4
我考試果陣通常都想快啲做完,考試想快啲做完，你有咩對策？,T7
但係如果我考得低就好難有好成績,搵下past paper 努力準備好個exam 或者搵朋友／教授幫下手搞清楚啲concept 可能有幫助呢,T2
我考試會好驚，有咩方法可以放鬆?,熟習多啲past paper同題目會唔會令你多啲信心冇咁緊張 或者可以同同學朋友一齊溫 一齊面對感覺會好啲,T9
我我聽日就要考試啦，點算，我超擔心,聽日要考試所以你好擔心，可以講下你呢刻嘅諗法嗎？,T9
考試成日都緊張到手震個不停,輕微手震應該好普遍嘅 不過如果嚴重或者持續好耐就最好請教下醫生 避免飲有咖啡因嘅飲品都可能有幫助架,T10
考試嗰陣我好攰 好害怕 迷茫   ,考試覺得攰，害怕，迷茫，係好難受。 可以講多啲你嘅諗法嗎？,T9
跟住就緊係希望無壓力啦,加油喔 捱過咗就有多好多時間空間做你想做嘅事,T9
好自卑 覺得自己做咩都會做得唔好 好難搵到啱傾嘅朋友,聽落你似乎對於自己冇咩自信心，覺得自己好難去做好每一件事，更因而感到自卑，唔敢認識新朋友。你可以同學校嘅counsellor傾下㗎！,L8
我考試嗰陣好緊張，想佢快d完，你有冇乜嘢建議?,都好common嘅 準備多啲 熟習啲題目 表現就會好啲快啲完卷 甚至可以早走添,T9
咁孤獨感就緊係人人都有 所謂真誠對待朋友 其實做啲朋友做得兄弟點會唔真誠 但係始終朋友呢個定位會有種隔膜 就算點真好都係唔會去到個種感覺 可能呢啲所謂知己 老死真係唔係人人會有 就同眾裡尋他一樣難,不如試一試主動一d，話唔定怒會發現好多好朋友,L8
我正正面對呢樣嘢:-(  多過一個人就覺得自己圈外人，好似棟喺到湊人數咁,試吓對而家嘅朋友敞開 或者淨係同你覺得相處比較舒服嘅朋友一齊～或者試吓可以喺新嘅圈子同其他人相處,L7
聽日就要考試啦，點算，我好擔心,擔心聽日嘅考試，具體係擔心的咩呢？,T9
中學去左外國之後一直有好長時間都一個人住，唔知係咪因為咁喺人際關係，溝通方面都唔係太叻,明白呢個感受會令人唔開心，試吓對人敞開自己,L8
所以我好驚我嘅答案唔係正確答案,驚自己答案唔正確，點解呢？,T4
但我手會成日震，頭又痛,不適肯定好影響你嘅表現 可以搵醫生傾傾睇下藥物或者深呼吸之類會唔會有幫助舒緩,T10
"曾經係一個成日笑, 算多朋友既�妹…但係中學時期發生太多唔好既事令到自己越來越anti-social,搞到15歲就開始摺埋自己、有dysthymia、得返1-2個知心朋友(無乜普通朋友因為唔識維持同溝通)、非常依賴酒精 [sosad] 
經過多年後既今日, 我依然好怕dealing with people, 尤其係女仔 (利申: 讀左12年女校), 亦變到好似唔再識同人溝通咁… 
如題…",你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,L8
覺得好孤獨,聽到你感到孤獨，可唔可以講多啲比我知發生咩事呀？,L3
無論身邊有幾多人都好似唔會明白我所思,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L4
我唔識做題嗰陣就會玩筆 ,唔識做題，玩筆嘅時候，你有點嘅感受？,T8
"走asshole後門入黎 yr3開始讀起
一開學已經見到d人已經分好圈子:-(融入唔到.......
仲要係學校d嘢我又咩都唔知 想問下人都冇朋友 咩都自己搞掂算
有冇人都係咁 好擔心以後都係自己一個......
明明我都唔係狗仔狗女 點解會咁㗎#cry#dog
有冇同路人圍下爐？",談到校園生活嘅時候，你提到自己因為係副學士升上大學，而無法融入他人嘅圈子。再者對於大學嘅一切仲未係好了解，所以好擔心要自己一個面對所有難題，是嗎？你可以搵學校嘅counsellor傾下㗎！,L7
我都成日唔開心架 好多秘密只可以自己收埋,太多心事喺心裡面的確會好辛苦。你可以搵屋企人或者朋友傾訴。再唔係，搵學校/社區嘅社工都得。,L2
我真後悔沒有認真復習，考試時又走神,後悔無認真復習同埋考試走神，的確係難受。,T5
我覺得我做得好爛，分數應該得好低分,"先不要那麼擔心, 想 想如果真係咁，可以掂處理？",T1
可能因為我中學太毒，唔識同人相處，又冇乜join啲咩活動，同班中同唯一交集淨係得一齊打機，都冇乜交過心,覺得中學嘅時侯唔識同人相處，只有打機嘅朋友，果陣時發生咗啲點嘅事呢？,L6
嚟緊考dse好緊張 迷茫 ,身邊好多人都好支持你哋 多啲同佢哋分享 佢哋好樂意聆聽同瞭解您架,T9
是的，但是我確實複習得不夠,意識到做得不足嘅地方好好 針對問題努力去改善 好快就會見到進步,T5
好似成個透明人咁 見到其他同學上堂有傾有講 :-( 我覺得自己是零  我都係想要個朋友姐 ,有時候要勇敢踏出第一步，以誠懇嘅態度同人交流。終有一日您會找到connect到的人，唔好忘記幫自己打氣呀。,L8
壓力大嘅時候，我個肚就唔舒服,壓力大而個肚唔舒服嘅時候，你會點做？,T10
"當人大左，由1x進入2x有份穩定又有前景既工，有小小錢，進入人生另一個階段，但無左生活既動力同目標，朋友愈來愈小真心難求，而且另一半更難搵到既時候，開始覺得孤獨好可怕，但明明幾年前覺得wfc:o) 
嗚啊:-(",明白你呢個感受先唔好灰心 一係試吓搵吓自己嘅興趣先,L1
我好緊張呀，如果呢次我仲唔合格點算,明白你嘅緊張。為咗合格，今次你打算點樣準備？,T2
考試時我很難想起答案，我覺得我的答案都錯,試下做熟啲pastpaper tutroial問多啲 用唔同嘅記憶法幫手 就會有多啲信心,T5
我真應該好好準備的，不至於答不出題,答不出題令到你有點樣嘅感覺？,T5
自從中學畢業，我越黎越覺得自己同其他人價值觀好唔同…,你所講嘅價值觀具體係指啲乜嘢呢？可以舉例嗎？,L5
所以我好緊張我嘅答案唔係正確答案,好緊張答案唔正確，係咩原因呢？,T4
而且考試嘅時候，我總擔心時間唔够，趕唔切,考試擔心時間唔夠，你會有點嘅對策？,T7
我考試時候很急要完成考試時我很難想起答案,擔心唔夠時間趕住做卷都好common嘅 試吓一收到考卷由頭到尾睇一次 分配好時間 有策略咁做卷 做熟啲pastpaper 咁就無咁容易緊張同失準啦,T5
唔知啊，總之我就係好焦慮,對於覺得焦慮，我想聽你講多啲自己嘅感受。,T9
"平時鍾意周圍影相,都搵唔到人一齊去..",我明白你嘅感受，你可以試下同屋企人多啲聯繫，相信佢地都會陪你。,L3
其實由細到大，我唔係冇嘗試識人融入人，而係次次比我感覺都好差,唔好咁灰心住，你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,L8
我在最近的考試中感覺我好多都不對,最近考試覺得好多都唔啱，係點解呢？,T4
但係大學識既同學真係好難fd到 好多要返工呀  同埋上堂又好少機會坐:)  話題都無乜,可能你未必同大學既同學有好多嘅話題，感覺好難維繫關係，你可以同學校嘅counsellor傾下㗎！,L5
"佢影響到我思想同行為,自此變得唔敢同人有深入既交流",明白你因為過往嘅經驗而令自己唔敢同人有深入嘅交流，你可以同學校嘅counsellor傾下㗎！,L6
我背唔到野啊，溫左好耐都唔得,多啲複習 試吓用唔同嘅記憶法幫手 將學術知識同日常生活連繫 或者用一啲生動有趣嘅聯想 唔記得嘅內容都可以靠推論搵番出黎 充足嘅休息都有助記憶架,T5
慣咗個人係咪就注定成世一個人..,"明白這感受會令人不開心.唔好咁灰心住..其實你可以試下用social media 去keep 住朋友,又或者考慮網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈",L3
我都明白 但我都係怕分數會唔好,擔心分數會唔好，令你有點嘅感受呢？,T1
一樣，自己真係唔會話想識好多人好多fd咁，只求幾個會傾到心嘅人，男女又好。莫講話去咩ocamp上莊的，成日覺得佢地都係一時覺好玩定點，自己就唔覺，會覺得佢地grad左或者幾個月後就跟本唔會再識大家咁，係人做佢又做，人玩佢又玩咁。,我明白你嘅感受，真正嘅朋友會分擔你嘅憂愁，互相扶持。只要你係真心對人嘅話，別人係看得見㗎。,L6
"我份人太麻甩, 所以同女仔無乜話題, 再加上以前讀女校有陰影",聽落以前喺女校發生咗令你唔開心嘅事，可以講嚟聽下嗎？,L5
我覺得我答得好差，考試應該得好低分,認為自己答得差，係點解呢？,T1
怕孤獨又好孤獨 無乜朋友咁濟,明白你會有咁嘅感覺唔好咁灰心先可以試吓用social Media 搵吓朋友,L1
"自從散咗之後間中就覺得好孤獨,本身自己朋友唔多,出咗嚟做嘢更加識唔到..",明白你嘅感受試吓搵多啲嘢做充實下自己 唔好俾自己落入寂寞嘅感覺,L8
呢幾日我都害怕到瞓唔著，好驚呢嗰會影響到我聽日嘅考試,呢幾日因為害怕所以瞓唔著，實好辛苦。可以講下你呢一刻嘅感受嗎？,T9
今日老師話下星期考試，然後我就好焦慮,老師話下星期考試，令你焦慮嘅原因係？,T9
上到大學到依家都識唔到一個朋友，大學個個都social，圍威喂，你唔social唔埋堆根本識唔到人,唔好咁灰心住，其實同人有多啲共同經歷嘅時候，慢慢就會變成朋友，友誼都會更深厚。唔好忘記幫自己打氣呀,L8
"有時我一個人喺屋企都會頂唔順太靜,開住電視唔睇.",我明白你嘅感受，有冇諗過每⽇做運動呢？運動可以改善情緒同減壓，做完運動人都精神啲！,L1
可能份卷太長我驚唔夠時間做,盡力而為啦 如果有策略咁做容易搶分嘅題目先 咁樣應該可以拎到唔錯嘅分數 有啲教授會特登出好多俾你地揀嚟做架喎,T7
其實就算身邊有人都會孤獨 有朋友 男朋友 家人 都係會孤獨 人愈大 就覺得同成個世界愈疏離 條命屬於自己 路都係自己行,我明白你會有呢個感受 試吓同你嘅另一半傾吓 敞開自己 比對方知道你係咩感受,L3
"雖然唔係話成日都自己一個咁,但心靈上都係感到好孤獨.",我完全明白你身邊有朋友，但係心靈上都係覺得孤獨，如果呢樣野對你造成困擾，你可以搵學校嘅counsellor傾下㗎！,L3
好多心事又唔好意思同啊媽講，但又冇人可以做聆聽者，希望可以一瞓解決,"唔好咁灰心住,你可以試下識多啲人，終有一日您會找到你嘅聆聽者。同人溝通有困難嘅時候唔好忘記幫自己打氣呀。",L5
讀書嘅壓力好大，唔想讀落去，感覺都要抑鬱噉,讀書壓力大，我明白。你呢刻嘅心情係點？,T11
考試成日都緊張到手震得厲害,如果嚴重或者持續好耐就最好請教下醫生 避免飲有咖啡因嘅飲品都可能有幫助架,T10
每晚就只剩下自己一個面對無明孤寂,聽到你每日晚上都要孤獨地面對事情而感到唔開心，你可以搵學校嘅counsellor傾下㗎！,L3
"尋日到一個真的懂你的知音,談何容易?",搵到知音的確唔容易。你有咩辦法去搵？,L4
今日考試我緊張到嘔呀  ,緊張到要嘔，係好辛苦。可以講多啲你嘅感受嗎？,T9
點樣安排多啲時間比自己溫習,比啲小任務自己去增加專注力同動力 將其他唔關事嘅嘢拎走／調一調時間 或者約同學一齊組團溫書互助 分配好時間 一定會考得更加好,T5
有時我諗野嗰陣，我會睇緊第二度神遊，然後就定曬形,諗野神遊，定型嘅時候，係諗緊啲乜嘢？,T6
因為我溫書好難記住知識點,試吓用mindmap整合分類好啲邏輯 用唔同嘅記憶法幫手 可以將學術知識同日常生活連繫 或者一啲生動有趣嘅聯想 充足嘅休息都有助記憶架,T5
考試嗰陣，我有時會出神，然後望住某個地方定曬形  ,考試出神，望住某處定型嘅時侯，係諗緊乜？,T6
明明周圍一大堆人，反而覺得更加孤獨,聽到你對於身邊有人卻無人明白你，因而令自己感到孤獨。你可以搵學校嘅counsellor傾下㗎！,L3
越近考試個人就越來越緊張，都唔知道應該點算好 ,越近考試越緊張嘅時侯，你會有點嘅諗法？,T9
啲秘密收收埋埋  我真係好想好想搵到個人比我講哂出嚟 一個就夠了,明白你無法搵到人分享秘密果種失落，你可以搵學校counsellor傾下㗎！,L2
咁你可唔可以俾d唔會咁害怕考試嘅方法我呀 傷心 ,熟習多啲past paper同題目會唔會令你多啲信心冇咁緊張,T9
你覺得我考得不好他們會對我失望嗎,佢哋失望會令你有點嘅感受？,T3
"覺得自己好似孤伶伶一個死左都冇人知咁
就喊撚左，喊到好撚癲",明白你感到孤單，擔心無人得知你嘅近況，你可以搵學校counsellor傾下㗎！,L1
越到考試後期，我寫題速度就越快,完成了後你覺得點？有冇舒服點？,T7
係啊！我黎緊好多考試啊，起碼有4科,試下設立唔同嘅階段性目標比自己 視乎目標分配好每一科嘅時間 逐步去努力達成 或者試下form study group同同學仔一齊努力互補不足 咁就會無咁辛苦架啦,T5
我好擔心我最後出到來的結果,擔心最後結果嘅時候，你會諗啲乜？,T1
有時其實冇咁嚴重嘅時候，就會全身發熱，除咗四肢係冰冷嘅,如果身體不適好嚴重 最好盡快睇醫生 睇下有咩舒緩方法或者藥物可以幫到手,T10
諗深一層其實自己都冇咩可以令人想識自己,有時候要勇敢踏出第一步，以誠懇嘅態度同人交流。唔好忘記幫自己打氣呀,L8
"唔會有人主動約自己,以前都會搵下我攝時間",試吓搵吓其他嘅朋友 比下其他人機會 或者都可以主動約下人,L2
如果今次考得吾好 成績就會吾好 甘就會搵吾到好工 甘就吾會有好ge一生,睇黎今次考試對你黎講真係好重要。你而家嘅感受係？,T2
